#{"t_start": 1778597934.5753849, "env_id": "LunarLander-v3"}
r,l,t
87.957823,1000,1295.854664
-73.029954,345,1296.363419
-40.23922,355,1296.882133
201.261164,403,1297.490121
-52.682037,315,1299.207586
80.604317,1000,1300.700046
-25.477337,414,1301.311062
138.858724,440,1303.275497
-39.315725,376,1303.833265
-18.147142,384,1304.398418
229.763497,350,1304.926623
101.755691,1000,1307.780849
190.942284,424,1312.012572
180.033866,439,1312.663896
211.247537,463,1313.376734
227.903278,423,1314.025019
